Pipe ID ,Pipe Identification,Pipe Diameter,Pipe Material,Pipe Roughness,Pipe Construction Year,Age ,Pipe Measured Length,Degradation rate,Effect factor,X_Coordinates,Y_Coordinates,Elevation_(m) with Sea level,BREAK_DATE,BREAK_YEAR,XCOORD,YCOORD,Break_Count,Pipe Location Description
25447,LN1008811,150,CI,110,1929,58,111.4,1.5,0.16,-79.46438795,43.73106988,191,2/5/1992,1992,307657.065,4843230.602,1,DAVENPORT RD
25483,LN1359228,300,CI,95,1910,58,105.9,2,0.16,-79.38868299,43.7690931,174.2647389,1/24/1998,1998,313732.679,4847460.161,1,DUFFERIN ST
25687,LN2446477,150,CI,95,1954,58,329.1,2,0.16,-79.47282403,43.67475095,123,1/28/1992,1992,306963.174,4836977.776,1,ROSSBURN DR
26079,LN1355511,150,CI,95,1922,58,327.2,2,0.16,-79.44642811,43.71037827,174,11/19/1995,1995,309088.161,4840933.876,1,MELROSE AVE
26111,LN2003943,200,CI,95,1955,58,10.4,2,0.16,-79.39906881,43.77622884,185,2/2/2005,2005,312920.931,4848259.6,1,SNOWELLEN AVE
26264,LN1022715,150,CI,95,1876,58,205.3,2,0.16,-79.56609768,43.722077,149,1/17/1997,1997,299470.79,4842239.386,1,NIAGARA ST
26349,LN101836,150,CI,95,1921,58,96.8,2,0.16,-79.28121328,43.7559562,162.900869,5/13/1990,1990,322408.561,4846023.669,1,ZENITH DR
26355,LN11555,300,CI,120,1946,58,43.7,1.5,0.965517241,-79.27709761,43.75549453,161,3/6/2004,2004,322730.673,4845983.994,1,KEELE ST
26758,LN11758,150,CI,130,1931,58,83.3,0.75,0.657142857,-79.3053723,43.72112415,146,12/23/2000,2000,320463.871,4842155.49,1,LONBOROUGH AVE
26883,LN4034242,150,CI,95,1971,58,217.7,2,0.16,-79.52247686,43.68114723,136,2/3/2003,2003,302971.787,4837692.232,1,OLIVE AVE
27410,LN103673,150,CI,95,1954,58,96.8,2,0.16,-79.51256346,43.68541134,114.1664726,11/12/2002,2002,303780.098,4838165.563,1,WYE VALLEY RD
27416,LN108047,200,PVC,95,1997,58,187.8,2,0.16,-79.51310947,43.686893,115,10/14/1995,1995,303724.718,4838326.672,1,MOREAU TRL
27433,LN2003061,300,CI,95,1923,58,43.1,2,0.16,-79.3568246,43.65826761,82,2/27/2002,2002,316327.969,4835162.867,1,LAKE SHORE BLVD W
27450,LN4031541,200,CI,95,1967,58,174.8674945,2,0.16,-79.51894933,43.69427952,129.2145932,2/25/2004,2004,303258.825,4839149.914,1,BROOKE AVE
27532,LN1014134,150,CI,95,1891,58,77.8,2,0.16,-79.28161876,43.79748005,176,9/11/1993,1993,322354.695,4850639.899,1,NOBLE ST
27654,LN1351180,150,CICL,95,1874,58,181.8,2,0.16,-79.54909594,43.63065453,126,1/24/2000,2000,300814.237,4832070.63,1,MUTUAL ST
27898,LN17792,300,DIP,95,1974,58,252.4,2,0.16,-79.53360013,43.63790857,121,1/5/2015,2015,302066.42,4832898.162,1,MORRISH RD
27963,LN4028132,150,CI,95,1955,58,233.5,2,0.16,-79.44632311,43.78118071,188,6/24/1993,1993,309099.03,4848792.425,1,ARROWSTOOK RD
28099,LN1359071,300,CI,95,1898,58,310.7,2,0.16,-79.37248342,43.73829035,157.4613949,9/30/2006,2006,315056.92,4844043.7,1,QUEEN ST W
28146,LN1021671,150,CI,130,1925,58,93.8,0.75,0.657142857,-79.35516393,43.65481675,78,7/22/1991,1991,316459.767,4834783.77,1,KERR RD
28177,LN101308,200,DIP,130,1979,58,281.4,0.75,0.657142857,-79.38230918,43.7464486,156,1/21/2003,2003,314249.224,4844946.68,1,PORT ROYAL TRL
28183,LN102213,150,DIP,95,1979,58,88.7,2,0.16,-79.46281923,43.66542037,118,1/7/1999,1999,307771.038,4835942.708,1,MUIRLANDS DR
28334,LN4034710,150,CI,130,1971,58,222.9,0.75,0.657142857,-79.37903548,43.64586735,79.48899313,11/13/2013,2013,301285,4851129,1,NORTON AVE
28350,LN106900,150,CI,95,1959,58,601.2555855,2,0.16,-79.29778582,43.70543625,128,3/8/2006,2006,321072.372,4840415.375,1,WOODGARDEN CRES
28389,LN2451323,200,CI,110,1959,58,86.55,1.5,0.16,-79.41914526,43.73166324,181,1/4/1995,1995,311294.088,4843291.28,1,DELSING DR
